target_name,top1_accuracy,top5_inclusion,recoverability_gap
forest,0.9166666666666666,0.9966666666666667,0.08000000000000007
industrial area,0.828,0.968,0.14
sea or lake,0.7433333333333333,0.9033333333333333,0.16000000000000003
highway or road,0.72,0.996,0.276
river,0.716,0.996,0.28
residential area,0.5833333333333334,0.8766666666666667,0.29333333333333333
annual crop land,0.5833333333333334,0.91,0.32666666666666666
permanent crop land,0.512,0.86,0.348
herbaceous vegetation,0.5933333333333334,0.9966666666666667,0.4033333333333333
pasture,0.5,0.995,0.495
