k,accuracy
1,0.6466666666666666
2,0.8203703703703704
3,0.894074074074074
4,0.9288888888888889
5,0.9518518518518518
6,0.9662962962962963
7,0.9777777777777777
8,0.9911111111111112
9,0.9962962962962963
10,1.0
