target_name,mean,median,std,count
annual crop land,44.034964886891174,57.17131634817997,263.3901923294769,300
forest,160.45950398147482,186.9326899551961,209.66697750390583,300
herbaceous vegetation,112.03508174754573,135.61546202923273,301.88313481983556,300
highway or road,74.19257019120336,78.69510916995569,293.88102594370525,250
industrial area,509.1699225717344,544.3155179619862,542.0600309650812,250
pasture,-36.244785214382794,-39.833388810591714,229.83869179161033,200
permanent crop land,-57.29974520406862,25.31769371266637,417.85657180774945,250
residential area,35.86669811328257,70.05671053100741,602.880034785303,300
river,119.72093692291182,89.97086840416159,254.06707472264193,250
sea or lake,191.75063021171164,363.23959434342396,496.6254298550742,300
