target_name,top1_accuracy,top5_inclusion,recoverability_gap
sea or lake,0.96,1.0,0.040000000000000036
industrial area,0.912,1.0,0.08799999999999997
annual crop land,0.84,0.97,0.13
residential area,0.8266666666666667,1.0,0.17333333333333334
herbaceous vegetation,0.7866666666666666,0.9933333333333333,0.20666666666666667
pasture,0.58,0.99,0.41000000000000003
forest,0.55,1.0,0.44999999999999996
highway or road,0.42,0.924,0.504
permanent crop land,0.196,0.832,0.6359999999999999
river,0.296,0.944,0.6479999999999999
