k,accuracy
1,0.5822222222222222
2,0.7381481481481481
3,0.8222222222222222
4,0.8840740740740741
5,0.9192592592592592
6,0.9525925925925925
7,0.9762962962962963
8,0.9888888888888889
9,0.9996296296296296
10,1.0
