true_rank,count,mean,median,std
1,1637,747.4056007085211,689.6605933955616,677.0017003096067
2,401,-355.0506833175469,-328.1385068223026,509.02731526224113
3,241,-781.3676059128463,-685.5198473996352,579.4498927264716
4,156,-1181.539458873726,-1149.4827592033944,558.0614218919926
5,88,-1275.939792292214,-1163.501960790103,598.3449487326977
>5,177,-1956.584936224787,-1805.7825284126666,873.2614513874416
