target_name,top1_accuracy,top5_inclusion,recoverability_gap
forest,0.8666666666666667,0.99,0.1233333333333333
sea or lake,0.82,0.9733333333333334,0.15333333333333343
industrial area,0.792,0.96,0.16799999999999993
highway or road,0.768,0.964,0.19599999999999995
pasture,0.485,0.7,0.21499999999999997
residential area,0.7633333333333333,0.9966666666666667,0.2333333333333334
herbaceous vegetation,0.7333333333333333,0.99,0.2566666666666667
annual crop land,0.25666666666666665,0.8366666666666667,0.5800000000000001
permanent crop land,0.324,0.916,0.5920000000000001
river,0.148,0.948,0.7999999999999999
