k,accuracy
1,0.8751851851851852
2,0.9492592592592592
3,0.9722222222222222
4,0.9837037037037037
5,0.9937037037037038
6,0.997037037037037
7,0.9988888888888889
8,0.9992592592592593
9,1.0
10,1.0
