true_rank,count,mean,median,std
1,2363,24.688661957144507,22.9829887132787,14.978709162810214
2,200,-6.29431244883751,-4.553688084862642,6.217550737651652
3,62,-9.902966356497934,-8.800414692410413,5.867336796397835
4,31,-12.388364103344106,-12.313015963187809,6.751024575160383
5,27,-18.721515035473235,-17.373606634141197,7.934676586556317
>5,17,-25.943690847884387,-23.5256902428614,10.925230409346886
