target_name,top1_accuracy,top5_inclusion,recoverability_gap
highway or road,1.0,1.0,0.0
industrial area,1.0,1.0,0.0
residential area,1.0,1.0,0.0
sea or lake,0.9933333333333333,1.0,0.00666666666666671
forest,0.99,1.0,0.010000000000000009
permanent crop land,0.984,0.996,0.01200000000000001
river,0.988,1.0,0.01200000000000001
pasture,0.98,1.0,0.020000000000000018
annual crop land,0.9766666666666667,1.0,0.023333333333333317
herbaceous vegetation,0.95,1.0,0.050000000000000044
