target_name,top1_accuracy,top5_inclusion,recoverability_gap
residential area,0.96,0.9866666666666667,0.026666666666666727
industrial area,0.972,1.0,0.028000000000000025
forest,0.9666666666666667,1.0,0.033333333333333326
herbaceous vegetation,0.8866666666666667,0.99,0.10333333333333328
river,0.884,1.0,0.11599999999999999
annual crop land,0.86,0.9966666666666667,0.13666666666666671
pasture,0.85,1.0,0.15000000000000002
sea or lake,0.8333333333333334,0.99,0.15666666666666662
permanent crop land,0.816,1.0,0.18400000000000005
highway or road,0.772,0.992,0.21999999999999997
