target_name,mean,median,std,count
annual crop land,20.9269795565923,22.585235777137314,19.44685800543542,300
forest,31.431775084464086,33.96471404140539,13.168550983290686,300
herbaceous vegetation,23.53632048657307,23.618097657536055,20.029232136712046,300
highway or road,15.239315734189535,15.146720054326579,18.508672561013853,250
industrial area,42.473303624115864,40.64453003601193,22.42508166409443,250
pasture,12.716993600670826,12.044498800433757,13.342970100723289,200
permanent crop land,15.225365754609454,16.880186069740375,16.037153847948566,250
residential area,44.90672724212144,48.2331844872524,25.73919174510343,300
river,15.188076743329031,15.343846513471817,12.32821267796379,250
sea or lake,37.86551039870083,51.40268865131543,29.923699236226696,300
