k,accuracy
1,0.8825925925925926
2,0.9540740740740741
3,0.9737037037037037
4,0.9874074074074074
5,0.9951851851851852
6,0.997037037037037
7,0.9988888888888889
8,1.0
9,1.0
10,1.0
