target_name,top1_accuracy,top5_inclusion,recoverability_gap
forest,0.9833333333333333,1.0,0.01666666666666672
industrial area,0.952,1.0,0.04800000000000004
residential area,0.9333333333333333,1.0,0.06666666666666665
sea or lake,0.9133333333333333,1.0,0.08666666666666667
annual crop land,0.88,0.98,0.09999999999999998
pasture,0.815,0.995,0.18000000000000005
herbaceous vegetation,0.7933333333333333,1.0,0.20666666666666667
permanent crop land,0.724,0.972,0.248
river,0.7,0.996,0.29600000000000004
highway or road,0.62,0.996,0.376
