target_name,top1_accuracy,top5_inclusion,recoverability_gap
industrial area,0.96,1.0,0.040000000000000036
sea or lake,0.9466666666666667,1.0,0.053333333333333344
annual crop land,0.92,0.9866666666666667,0.06666666666666665
herbaceous vegetation,0.9266666666666666,1.0,0.07333333333333336
forest,0.9233333333333333,1.0,0.07666666666666666
residential area,0.9,1.0,0.09999999999999998
pasture,0.86,1.0,0.14
permanent crop land,0.7,0.988,0.28800000000000003
river,0.608,0.992,0.384
highway or road,0.58,0.992,0.41200000000000003
