true_rank,count,mean,median,std
1,1010,0.011094409891284338,0.006328493356704712,0.012881963841254437
2,552,-0.005469847389537355,-0.0033302605152130127,0.005899383242980658
3,378,-0.006972063155401321,-0.005254805088043213,0.005471649452224736
4,240,-0.009945729995767276,-0.008806079626083374,0.006103345599286399
5,190,-0.011824467464497215,-0.011240169405937195,0.0048434034630654935
>5,330,-0.016243461361437134,-0.015280865132808685,0.007109554940311016
