target_name,mean,median,std,count
annual crop land,-0.010675639609495798,-0.011179186403751373,0.007370466018315956,300
forest,0.002673736164967219,0.0018657222390174866,0.006959545631633573,300
herbaceous vegetation,-0.012491781016190846,-0.01143541932106018,0.007835777773987534,300
highway or road,0.022892512381076813,0.0206478089094162,0.02022884978822913,250
industrial area,0.000427872359752655,-0.0003469511866569519,0.009059075141466196,250
pasture,-0.007696635350584984,-0.007766216993331909,0.005409422239318757,200
permanent crop land,-0.008166270196437836,-0.006346806883811951,0.009534264360035107,250
residential area,0.0025576605399449666,0.0032661855220794678,0.00866159937407783,300
river,-0.003858113944530487,-0.005084708333015442,0.013084443903865015,250
sea or lake,-0.001157579372326533,-0.0018442198634147644,0.005983371076503974,300
