target_name,top1_accuracy,top5_inclusion,recoverability_gap
sea or lake,0.8933333333333333,0.98,0.08666666666666667
permanent crop land,0.568,0.684,0.1160000000000001
annual crop land,0.8533333333333334,0.9866666666666667,0.1333333333333333
residential area,0.8066666666666666,0.96,0.15333333333333332
forest,0.7766666666666666,1.0,0.22333333333333338
highway or road,0.684,0.916,0.23199999999999998
industrial area,0.716,0.992,0.276
herbaceous vegetation,0.62,0.9833333333333333,0.3633333333333333
river,0.516,1.0,0.484
pasture,0.31,0.85,0.54
