target_name,mean,median,std,count
annual crop land,0.2707996146800212,0.34588013415126095,0.3244094563162401,300
forest,0.112531533342673,0.1354273959081338,0.23145007680180477,300
herbaceous vegetation,0.12188463666671576,0.14000164230745238,0.31031351821751835,300
highway or road,-0.10449263233451402,-0.05093127561407407,0.40557851812435713,250
industrial area,0.08229231101298376,0.1295641915318111,0.23483535049072826,250
pasture,-0.2664646898494224,-0.15187492427132643,0.39567635785268707,200
permanent crop land,-0.1647081620267177,0.10162907864771142,0.6851199073500079,250
residential area,0.19398375711833127,0.22573006067745904,0.36201878667474674,300
river,-0.09731631993155028,-0.05449699095969507,0.31379323894114375,250
sea or lake,0.4351233668652133,0.5632431093607471,0.37289493751651026,300
