k,accuracy
1,0.6503703703703704
2,0.7774074074074074
3,0.8529629629629629
4,0.8962962962962963
5,0.93
6,0.9544444444444444
7,0.9674074074074074
8,0.9837037037037037
9,0.9959259259259259
10,1.0
