k,accuracy
1,0.9
2,0.9622222222222222
3,0.9829629629629629
4,0.9933333333333333
5,0.9966666666666667
6,0.9974074074074074
7,0.9988888888888889
8,0.9992592592592593
9,1.0
10,1.0
