k,accuracy
1,0.37407407407407406
2,0.5785185185185185
3,0.7185185185185186
4,0.8074074074074075
5,0.8777777777777778
6,0.9151851851851852
7,0.9477777777777778
8,0.9725925925925926
9,0.9933333333333333
10,1.0
