target_name,mean,median,std,count
annual crop land,-0.010675639063119888,-0.011179186403751373,0.0073704651979422595,300
forest,0.0026737354199091595,0.0018657222390174866,0.0069595437197265885,300
herbaceous vegetation,-0.012491780469814936,-0.01143541932106018,0.00783577742549009,300
highway or road,0.022892510652542115,0.020647823810577393,0.02022884946696878,250
industrial area,0.00042787402868270873,-0.00034693628549575806,0.009059076149860748,250
pasture,-0.0076966374367475505,-0.007766202092170715,0.005409421850651287,200
permanent crop land,-0.008166271269321441,-0.006346806883811951,0.009534263756266792,250
residential area,0.002557660589615504,0.0032661855220794678,0.008661598444347931,300
river,-0.0038581132888793946,-0.005084708333015442,0.013084443997155732,250
sea or lake,-0.0011575798193613688,-0.0018442198634147644,0.005983370998027988,300
