k,accuracy
1,0.37592592592592594
2,0.55
3,0.6696296296296296
4,0.8548148148148148
5,0.9403703703703704
6,0.9707407407407408
7,0.9874074074074074
8,0.9959259259259259
9,0.9992592592592593
10,1.0
