target_name,top1_accuracy,top5_inclusion,recoverability_gap
highway or road,0.76,0.948,0.18799999999999994
residential area,0.7,0.9033333333333333,0.20333333333333337
forest,0.7733333333333333,0.9966666666666667,0.22333333333333338
permanent crop land,0.552,0.776,0.22399999999999998
industrial area,0.652,0.98,0.32799999999999996
river,0.536,0.96,0.42399999999999993
pasture,0.06,0.555,0.49500000000000005
sea or lake,0.47333333333333333,0.9866666666666667,0.5133333333333334
annual crop land,0.10666666666666667,0.8433333333333334,0.7366666666666667
herbaceous vegetation,0.20666666666666667,0.9866666666666667,0.78
