target_name,mean,median,std,count
annual crop land,-0.13836544103904533,-0.11687783793048423,0.1989400515115253,300
forest,-0.26165059390393974,-0.2575550441375092,0.17334104794530011,300
herbaceous vegetation,-0.054071062584113934,-0.055673310013943045,0.24422123069554857,300
highway or road,-0.12144060305542652,-0.08829876311790841,0.38251099096882435,250
industrial area,-0.11169766505644928,-0.09800533667948574,0.22849951342552643,250
pasture,-0.48198638564050467,-0.5383360148033605,0.4593827048885911,200
permanent crop land,-0.06697878921397397,0.018982180349194522,0.28576390707160826,250
residential area,-0.12491720305685895,-0.08503065232147833,0.2975850723018093,300
river,-0.08648802643800606,-0.02602252362350832,0.23390615279400379,250
sea or lake,-0.5464548325996726,-0.6319659624388656,0.2092050846407909,300
