k,accuracy
1,0.2966666666666667
2,0.5574074074074075
3,0.6781481481481482
4,0.7903703703703704
5,0.8859259259259259
6,0.9166666666666666
7,0.9355555555555556
8,0.9551851851851851
9,0.9829629629629629
10,1.0
