true_rank,count,mean,median,std
1,2414,39.06278743707027,36.66418504971807,23.77797311733861
2,176,-8.177568578730682,-5.771913013840958,10.121428256102593
3,58,-14.781442621144386,-13.784181818078423,8.277015868601149
4,19,-20.598509577212578,-20.256898919725245,9.273283292222592
5,12,-28.53445121220678,-28.19922308337209,9.47584774144094
>5,21,-34.73707155042571,-34.18652014866302,16.4713519824955
