target_name,mean,median,std,count
annual crop land,25.468686407018527,26.203924474026735,21.535486047420246,300
forest,37.723723673445285,41.13735840553704,15.325205940147706,300
herbaceous vegetation,24.85935620754001,26.646796504094937,26.269806157301865,300
highway or road,21.79564876219229,23.519666192138175,19.798382141862547,250
industrial area,56.56612913392105,54.93961383328974,29.288702426546173,250
pasture,18.49003617688569,18.505955507353065,16.26189567217549,200
permanent crop land,17.16661889001593,18.46746234884631,17.297108054160326,250
residential area,59.871600379800476,61.03379854914647,29.184266284697244,300
river,26.147052228580097,28.864430538071247,18.948008028021594,250
sea or lake,40.14616680912144,54.7079569540806,34.21993087938939,300
