k,accuracy
1,0.894074074074074
2,0.9585185185185185
3,0.9766666666666667
4,0.9862962962962963
5,0.9918518518518519
6,0.9940740740740741
7,0.9981481481481481
8,0.9992592592592593
9,0.9996296296296296
10,1.0
