k,accuracy
1,0.5225925925925926
2,0.6488888888888888
3,0.727037037037037
4,0.8077777777777778
5,0.8711111111111111
6,0.9233333333333333
7,0.9585185185185185
8,0.9788888888888889
9,0.9985185185185185
10,1.0
