target_name,mean,median,std,count
annual crop land,-0.12723448924371553,-0.12855613888970696,0.15681012409944425,300
forest,0.051298248308791976,0.09043441873991731,0.13152927010131601,300
herbaceous vegetation,0.08956101113507607,0.11198221608384706,0.11481835624201892,300
highway or road,0.07059852340874603,0.08315626681965943,0.1987033779288784,250
industrial area,0.04728380659777545,0.10408127711822246,0.23173834661780085,250
pasture,-0.13389414160552626,-0.046630896649405784,0.33086475226984735,200
permanent crop land,-0.2286029279745191,-0.23363230806524515,0.11273798791157667,250
residential area,0.06179416554032931,0.07442344169558601,0.14197645124994093,300
river,-0.22042495164161985,-0.22048467901744218,0.1356865814339048,250
sea or lake,0.08776364351348144,0.12935678072301837,0.1440359959405617,300
