target_name,top1_accuracy,top5_inclusion,recoverability_gap
sea or lake,0.85,0.9833333333333333,0.1333333333333333
forest,0.85,0.9966666666666667,0.14666666666666672
highway or road,0.816,0.968,0.15200000000000002
pasture,0.485,0.655,0.17000000000000004
herbaceous vegetation,0.7366666666666667,0.9866666666666667,0.25
residential area,0.7466666666666667,1.0,0.2533333333333333
industrial area,0.664,0.94,0.2759999999999999
permanent crop land,0.068,0.668,0.6000000000000001
annual crop land,0.18,0.9033333333333333,0.7233333333333334
river,0.188,0.924,0.736
