target_name,mean,median,std,count
annual crop land,-0.012890897901768008,-0.01109246937925179,0.01850967788754035,300
forest,-0.024188720951841224,-0.023878284684035134,0.015938573312346768,300
herbaceous vegetation,-0.004957396245272593,-0.005180005728311787,0.02277611282684397,300
highway or road,-0.011105557765419062,-0.008015821625834085,0.03488543498825702,250
industrial area,-0.010095611069902187,-0.009033360011109215,0.02064234483034049,250
pasture,-0.042603607814766534,-0.04941155253108359,0.04060455101995026,200
permanent crop land,-0.005963606736722639,0.0017920163323835725,0.02598382545682292,250
residential area,-0.011321218272987515,-0.007779626034235987,0.02715329930957282,300
river,-0.007953929983188992,-0.0024309629526506615,0.02166605113403836,250
sea or lake,-0.04876591937767724,-0.05647655645239047,0.01831081464526304,300
