target_name,top1_accuracy,top5_inclusion,recoverability_gap
highway or road,0.836,0.972,0.136
residential area,0.76,0.93,0.17000000000000004
forest,0.8033333333333333,1.0,0.19666666666666666
permanent crop land,0.416,0.668,0.25200000000000006
industrial area,0.572,0.976,0.404
sea or lake,0.48,0.9733333333333334,0.4933333333333334
river,0.404,0.9,0.496
annual crop land,0.1,0.7466666666666667,0.6466666666666667
pasture,0.04,0.925,0.885
herbaceous vegetation,0.06,0.9533333333333334,0.8933333333333333
