target_name,top1_accuracy,top5_inclusion,recoverability_gap
highway or road,0.86,0.98,0.12
residential area,0.67,0.9433333333333334,0.2733333333333333
permanent crop land,0.248,0.62,0.372
forest,0.5966666666666667,0.9966666666666667,0.4
annual crop land,0.09333333333333334,0.5666666666666667,0.47333333333333333
industrial area,0.492,0.98,0.488
river,0.36,0.916,0.556
sea or lake,0.32,0.97,0.6499999999999999
pasture,0.07,0.91,0.8400000000000001
herbaceous vegetation,0.006666666666666667,0.9033333333333333,0.8966666666666666
