target_name,top1_accuracy,top5_inclusion,recoverability_gap
industrial area,0.904,1.0,0.09599999999999997
sea or lake,0.9,1.0,0.09999999999999998
forest,0.8933333333333333,1.0,0.10666666666666669
herbaceous vegetation,0.87,1.0,0.13
annual crop land,0.8033333333333333,0.96,0.15666666666666662
permanent crop land,0.696,0.908,0.21200000000000008
residential area,0.6833333333333333,0.9766666666666667,0.29333333333333333
pasture,0.39,0.81,0.42000000000000004
highway or road,0.54,1.0,0.45999999999999996
river,0.34,0.944,0.6039999999999999
