target_name,top1_accuracy,top5_inclusion,recoverability_gap
forest,0.9533333333333334,1.0,0.046666666666666634
residential area,0.9266666666666666,0.98,0.053333333333333344
sea or lake,0.9266666666666666,0.9966666666666667,0.07000000000000006
industrial area,0.896,0.996,0.09999999999999998
annual crop land,0.7866666666666666,0.9866666666666667,0.20000000000000007
herbaceous vegetation,0.7633333333333333,0.9966666666666667,0.2333333333333334
pasture,0.735,0.98,0.245
highway or road,0.648,0.94,0.2919999999999999
river,0.652,0.98,0.32799999999999996
permanent crop land,0.64,0.976,0.33599999999999997
