k,accuracy
1,0.7933333333333333
2,0.8948148148148148
3,0.9485185185185185
4,0.9677777777777777
5,0.9814814814814815
6,0.9892592592592593
7,0.9962962962962963
8,0.9992592592592593
9,0.9996296296296296
10,1.0
