target_name,mean,median,std,count
annual crop land,105.3267428662382,113.96966125232757,124.43742398941922,300
forest,105.0819819997275,112.80117959802374,72.44737556353823,300
herbaceous vegetation,96.47561709190283,95.23491984765496,125.7952939118117,300
highway or road,35.10369698195908,24.91367568790156,165.275699207387,250
industrial area,262.0429318259991,261.23643706201256,201.44174428721894,250
pasture,52.17757179308177,51.14171536051981,109.68085784178653,200
permanent crop land,42.22965712439659,41.461695866799346,120.87448296146118,250
residential area,239.99249946821234,250.09806666550503,173.05528882514398,300
river,58.26015373249157,63.368320495138505,125.28741725223364,250
sea or lake,108.55670259584501,120.62584758694175,75.97479195331624,300
