k,accuracy
1,0.6562962962962963
2,0.7922222222222223
3,0.8392592592592593
4,0.8885185185185185
5,0.9348148148148148
6,0.9725925925925926
7,0.9859259259259259
8,0.9929629629629629
9,0.9981481481481481
10,1.0
