target_name,mean,median,std,count
annual crop land,0.2603307382847971,0.33305909385946686,0.5192440960427404,300
forest,0.7414126255588277,0.7993384101524699,0.4671549623930764,300
herbaceous vegetation,0.7495128803946993,0.861448539784528,0.6698869728586028,300
highway or road,-0.22979974981930348,-0.12922768346346336,0.7927823876834944,250
industrial area,0.6027233356818505,0.7363326508307126,0.5886020166971145,250
pasture,-0.571353777370096,-0.424671720076536,0.9195218291772694,200
permanent crop land,-0.5622555387348315,-0.47222743050138516,0.6907867586403182,250
residential area,0.36060882956015305,0.3819883994970723,0.7572578744341121,300
river,-0.15445524846218467,0.10785531414768634,0.987989048856586,250
sea or lake,0.19479966444297475,0.33968668080945497,0.41974460895733784,300
