target_name,top1_accuracy,top5_inclusion,recoverability_gap
sea or lake,0.8333333333333334,0.97,0.1366666666666666
industrial area,0.8,0.94,0.1399999999999999
forest,0.8233333333333334,1.0,0.17666666666666664
permanent crop land,0.504,0.724,0.21999999999999997
river,0.628,0.94,0.31199999999999994
herbaceous vegetation,0.63,0.97,0.33999999999999997
highway or road,0.556,0.912,0.356
residential area,0.5766666666666667,0.9333333333333333,0.3566666666666667
pasture,0.305,1.0,0.6950000000000001
annual crop land,0.26666666666666666,1.0,0.7333333333333334
