k,accuracy
1,0.5481481481481482
2,0.7103703703703703
3,0.8107407407407408
4,0.8737037037037036
5,0.9225925925925926
6,0.9574074074074074
7,0.9774074074074074
8,0.9885185185185185
9,0.9944444444444445
10,1.0
